feature,n_success,n_fail,median_success,median_fail,mean_success,mean_fail,mw_U,mw_p,rank_biserial_r,pointbiserial_r,pointbiserial_p
readability_flesch,41,56,-8.6885,-21.63075,-8.187702439024388,-16.26135357142857,1585.0,0.0014341488805660926,-0.38066202090592327,0.17159541063430286,0.09284064141433095
readability_avg,41,56,-28.24463333333334,-34.534333333333336,-28.804739837398373,-32.16415535714286,1515.0,0.007439778974084855,-0.3196864111498259,0.1459082454802273,0.1538555185127301
uncertainty_score,42,57,0.0024237699440803747,0.0,0.003215575321056112,0.0014827681759965027,1490.0,0.027806885905033586,-0.24477861319966587,0.26935516107269986,0.007017066736777287
we_ratio,42,57,0.02495615038511401,0.01744186046511628,0.026059767255820182,0.018217630606609272,1508.0,0.02781967105634231,-0.25981620718462817,0.23353840886913882,0.019995357289929825
we_count,42,57,10.5,6.0,10.952380952380953,8.385964912280702,1470.0,0.05328049645455406,-0.22807017543859653,0.1356111404621813,0.18077618669246015
we_vs_i,42,57,8.0,3.0,9.097336459836459,5.855102751030283,1437.0,0.08960898426598238,-0.20050125313283207,0.200357698298326,0.046764487086203274
social_score,42,57,0.06382494455413051,0.04424778761061947,0.06212789948191671,0.05129663889255617,1433.5,0.09474691947466038,-0.19757727652464485,0.17393553664861947,0.08510432980821422
gratitude_score,42,57,0.001738313579083451,0.0,0.0022429220889261703,0.0013399512673485548,1414.0,0.09740360301276038,-0.18128654970760238,0.19165661220798358,0.05738096876628687
topic_0,42,57,0.0013318797573447225,0.1010345965623856,0.19642426055465226,0.409593735971149,974.5,0.11600904661769917,0.18588137009189643,-0.2546187519503057,0.010980640775168657
rubert_negative,41,56,0.1440288126468658,0.17359022051095965,0.15313992403992793,0.17966356767075403,937.0,0.12423275743338655,0.1837979094076655,-0.16410608465293552,0.1082267683223082
topic_2,42,57,0.0010608552838675678,0.0009349625324830413,0.1669054075991014,0.05690636456098506,1401.5,0.14865212873717926,-0.1708437761069339,0.19228991386439365,0.05654690213906081
readability_fog,41,56,23.1423,24.3599,23.409124390243903,23.85919642857143,953.0,0.15549070579022112,0.16986062717770034,-0.05942781212833998,0.563115664383177
readability_lix,41,56,54.919,57.6037,54.81739268292683,56.37191607142857,971.0,0.19741517858043522,0.15418118466898956,-0.0893331301856928,0.3842102311155966
topic_1,42,57,0.0012564989738166337,0.001068086479790509,0.09821707917407843,0.13223164240352753,1379.5,0.1975545697972647,-0.15246449456975775,-0.05963614760105737,0.5576346504881283
has_gratitude,42,57,1.0,0.0,0.5476190476190477,0.42105263157894735,1348.5,0.21647037375263523,-0.12656641604010033,0.1252650611310262,0.21667604180946215
topic_3,42,57,0.001031995052471757,0.001061112503521144,0.14495632608304732,0.09133816304491024,1301.5,0.46153944851155415,-0.08730158730158721,0.0908637663060888,0.37107949432647597
certainty_score,42,57,0.0,0.0,0.0009875340118860327,0.0008685595448180505,1232.0,0.768728774204232,-0.029239766081871288,0.036437732431191736,0.7202944238198374
i_count,42,57,0.0,0.0,2.0238095238095237,3.245614035087719,1180.0,0.8911960794474959,0.014202172096908994,-0.10510644321248828,0.3004890432797064
rubert_positive,41,56,0.2576108574867249,0.2657272219657898,0.27949521890500695,0.2812766901084355,1160.0,0.9330702402593428,-0.010452961672473782,-0.009059435524737019,0.9298208782777473
